[Script Info]
; Script generated by Aegisub 3.4.2
; http://www.aegisub.org/
ScriptType: v4.00+
PlayResX: 1440
PlayResY: 1080
WrapStyle: 2
YCbCr Matrix: TV.709

[Aegisub Project Garbage]
Audio File: [shincaps] Honzuki no Gekokujou ~Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen~ Ryoushu no Youjo - 08 (AT-X 1440x1080 MPEG2 AAC).ts
Video File: [shincaps] Honzuki no Gekokujou ~Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen~ Ryoushu no Youjo - 08 (AT-X 1440x1080 MPEG2 AAC).ts
Video AR Mode: 4
Video AR Value: 1.777778
Video Zoom Percent: 0.500000
Scroll Position: 72
Active Line: 2
Video Position: 1449

[V4+ Styles]
Format: Name, Fontname, Fontsize, PrimaryColour, SecondaryColour, OutlineColour, BackColour, Bold, Italic, Underline, StrikeOut, ScaleX, ScaleY, Spacing, Angle, BorderStyle, Outline, Shadow, Alignment, MarginL, MarginR, MarginV, Encoding
Style: Default,sans-serif,72,&H00FFFFFF,&H00FFFFFF,&H00000000,&H00000000,0,0,0,0,100,100,0,0,4,0,8,2,15,15,20,0

[Events]
Format: Layer, Start, End, Style, Name, MarginL, MarginR, MarginV, Effect, Text
Dialogue: 0,0:07:23.44,9:59:59.99,Default,,0,0,0,,私に関わった人が殺される…》
Dialogue: 0,0:07:27.28,9:59:59.99,Default,,0,0,0,,それは イヤです｡
Dialogue: 0,0:07:29.78,9:59:59.99,Default,,0,0,0,,ああ｡ 色々と
Dialogue: 0,0:07:29.78,9:59:59.99,Default,,0,0,0,,証言を握っていそうだからな｡
Dialogue: 0,0:07:33.89,9:59:59.99,Default,,0,0,0,,アレは 生きたまま確保したい｡
Dialogue: 0,0:07:37.56,9:59:59.99,Default,,0,0,0,,ハッセに行くのは
Dialogue: 0,0:07:37.56,9:59:59.99,Default,,0,0,0,,次の視察日まで待ちなさい｡
Dialogue: 0,0:07:42.23,0:07:44.23,Default,,0,0,0,,はい｡
Dialogue: 0,0:07:46.23,9:59:59.99,Default,,0,0,0,,《ロｰゼマイン:その数日後➡
Dialogue: 0,0:07:49.57,0:07:53.77,Default,,0,0,0,,前神殿長宛てに手紙が届いた》
Dialogue: 0,0:07:57.08,9:59:59.99,Default,,0,0,0,,｢貴方の部下が
Dialogue: 0,0:07:57.08,9:59:59.99,Default,,0,0,0,,横暴極まりないことをしています｡
Dialogue: 0,0:08:01.25,9:59:59.99,Default,,0,0,0,,小神殿をなんとかしてください｣｡
Dialogue: 0,0:08:03.42,9:59:59.99,Default,,0,0,0,,《神官長の言った通り➡
Dialogue: 0,0:08:05.42,9:59:59.99,Default,,0,0,0,,前神殿長が死んだことを
Dialogue: 0,0:08:05.42,9:59:59.99,Default,,0,0,0,,知らないんだ…》
Dialogue: 0,0:08:08.92,9:59:59.99,Default,,0,0,0,,｢貴族に売り渡す
Dialogue: 0,0:08:08.92,9:59:59.99,Default,,0,0,0,,契約をしていた ノｰラも➡
Dialogue: 0,0:08:12.09,9:59:59.99,Default,,0,0,0,,奪われてしまいました｣｡
Dialogue: 0,0:08:14.09,0:08:16.09,Default,,0,0,0,,《これって…！》
Dialogue: 0,0:08:18.60,9:59:59.99,Default,,0,0,0,,手紙の書き方を
Dialogue: 0,0:08:18.60,9:59:59.99,Default,,0,0,0,,知らないようだな｡
Dialogue: 0,0:08:21.43,9:59:59.99,Default,,0,0,0,,そう言えば ベンノさんが…｡
Dialogue: 0,0:08:23.44,9:59:59.99,Default,,0,0,0,,｟ハッセには 貴族が食事したり
Dialogue: 0,0:08:23.44,9:59:59.99,Default,,0,0,0,,宿泊する場所がありません｡
Dialogue: 0,0:08:28.61,9:59:59.99,Default,,0,0,0,,エｰレンフェストの街から近く
Dialogue: 0,0:08:28.61,9:59:59.99,Default,,0,0,0,,皆 ハッセを通り過ぎるからです｡
Dialogue: 0,0:08:33.21,9:59:59.99,Default,,0,0,0,,そのため 神事や徴税以外で➡
Dialogue: 0,0:08:35.38,9:59:59.99,Default,,0,0,0,,貴族と接する事がありません｠
Dialogue: 0,0:08:38.05,9:59:59.99,Default,,0,0,0,,町長が増長するはずですよね｡
Dialogue: 0,0:08:41.22,9:59:59.99,Default,,0,0,0,,(フェルディナンド)前神殿長は
Dialogue: 0,0:08:41.22,9:59:59.99,Default,,0,0,0,,亡くなりましたと➡
Dialogue: 0,0:08:43.56,9:59:59.99,Default,,0,0,0,,返事をしておきなさい｡
Dialogue: 0,0:08:45.56,9:59:59.99,Default,,0,0,0,,アレが欲するのが
